,num_yelp_bus,med_hh_income,est_num_damaged_bus,zip_code,2010 Census Population,Date,RegionID,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
105,2.0,64195,2444,77396,43317,2019-03-31,91902.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Atascocita,1069.0,179600.0,0.0011148272017837198,0.0198750709823964,0.0460104834012813,0.0717673489713111,0.0352619711799091,2019-03,2019-Q1,179600.0,0.0,2019-03
106,145.0,172205,3213,77401,17491,2019-03-31,91904.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Bellaire,6980.0,803200.0,0.00312226801548645,0.0158087770330087,0.00929881879869314,0.0335287544352985,0.0298719068513991,2019-03,2019-Q1,803200.0,0.0,2019-03
107,4.0,103092,6118,77429,72264,2019-03-31,91922.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Cypress,44.0,251600.0,0.00239043824701195,0.0173877881116053,0.0362438220757825,0.0601242557730539,0.0350371295091048,2019-03,2019-Q1,251600.0,0.0,2019-03
108,5.0,103773,4437,77433,50539,2019-03-31,91926.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Cypress,38.0,258400.0,0.00155038759689922,0.0113502935420744,0.0241775663892192,0.0437479633174014,0.0308469294073148,2019-03,2019-Q1,258400.0,0.0,2019-03
109,1.0,72775,695,77447,11872,2019-03-31,91938.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Hockley,6950.0,217700.0,-0.000917852225791648,0.0125581395348837,0.0655898188937837,0.0715468354864308,0.0452112401334892,2019-02,2019-Q1,217900.0,-0.000917852225791648,2019-02
110,4.0,72397,4677,77449,94382,2019-03-31,91940.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Katy,5.0,183600.0,0.00273074822501365,0.0143646408839779,0.0473474044495151,0.0713196630854869,0.0380363461063298,2019-03,2019-Q1,183600.0,0.0,2019-03
111,9.0,101240,5948,77450,71889,2019-03-31,91941.0,TX,Houston-The Woodlands-Sugar Land,Fort Bend County,Cinco Ranch,177.0,262700.0,0.0019069412662089998,0.00728527607361963,0.0265728800312622,0.0520858476126109,0.0377249987763151,2019-03,2019-Q1,262700.0,0.0,2019-03
112,1.0,85865,1943,77493,23104,2019-03-31,91981.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Katy,3013.0,223300.0,-0.00044762757385855,0.007671480144404329,0.0390879478827362,0.0563071206973589,0.0410770949395811,2019-02,2019-Q1,223400.0,-0.00044762757385855,2019-02
113,4.0,46105,1432,77502,37995,2019-03-31,91986.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Pasadena,3388.0,146900.0,0.0054757015742642,0.0138026224982747,0.0761904761904762,0.0973976325721697,0.0433495685989673,2019-03,2019-Q1,146900.0,0.0,2019-03
114,2.0,45778,1015,77503,24251,2019-03-31,91987.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Pasadena,5435.0,142800.0,0.0014025245441795199,0.0178189593727726,0.10015408320493101,0.10091426925908599,0.0433694902415493,2019-03,2019-Q1,142800.0,0.0,2019-03
115,2.0,40693,1395,77504,24529,2019-03-31,91988.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Pasadena,4946.0,194900.0,0.0046391752577319605,0.0279535864978903,0.129855072463768,0.0841937727578774,0.0426979465876598,2019-03,2019-Q1,194900.0,0.0,2019-03
116,1.0,77490,1688,77505,23223,2019-03-31,91989.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Pasadena,5528.0,228500.0,0.003954305799648511,0.0196340919232485,0.07428302773859899,0.0718715294481644,0.0383083009636833,2019-03,2019-Q1,228500.0,0.0,2019-03
117,4.0,34838,1138,77506,35977,2019-03-31,91990.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Pasadena,3658.0,121500.0,0.0041322314049586795,0.0033030553261767103,0.130232558139535,0.113431710507307,0.0446496476533005,2019-03,2019-Q1,121500.0,0.0,2019-03
118,2.0,46311,1775,77520,36489,2019-03-31,92002.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Baytown,2465.0,122600.0,0.009884678747940691,0.027661357921207004,0.0907473309608541,0.0957860057814197,0.0433538193625567,2019-03,2019-Q1,122600.0,0.0,2019-03
119,1.0,62513,2468,77521,49507,2019-03-31,92003.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Baytown,379.0,182400.0,0.0038525041276829897,0.0167224080267559,0.0666666666666667,0.0676276583044784,0.0348454787212236,2019-03,2019-Q1,182400.0,0.0,2019-03
120,1.0,55761,1265,77530,31086,2019-03-31,92005.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Channelview,4272.0,146200.0,-0.000683526999316473,0.0068870523415978,0.0383522727272727,0.10610749165735198,0.0458274813038402,2019-02,2019-Q1,146300.0,-0.000683526999316473,2019-02
121,2.0,62606,1457,77532,26236,2019-03-31,92007.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Crosby,3345.0,194000.0,0.00622406639004149,0.0264550264550265,0.0537751222161869,0.08302417048926401,0.0434418412831132,2019-03,2019-Q1,194000.0,0.0,2019-03
122,2.0,82420,1767,77536,30690,2019-03-31,92011.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Deer Park,3150.0,196000.0,0.000510464522715671,0.00823045267489712,0.0520665593129361,0.0764634199916574,0.0375275514373858,2019-03,2019-Q1,196000.0,0.0,2019-03
123,2.0,41037,287,77547,9735,,,,,,,,,,,,,,,,,,
124,,62077,466,77562,10459,2019-03-31,92028.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Highlands,8389.0,161900.0,0.0112429731417864,0.0458656330749354,0.10136054421768699,0.102483485848229,0.0489416100140565,2019-03,2019-Q1,161900.0,0.0,2019-03
125,3.0,75232,2257,77571,35666,2019-03-31,92034.0,TX,Houston-The Woodlands-Sugar Land,Harris County,La Porte,2551.0,183300.0,0.00163934426229508,0.0155124653739612,0.0601503759398496,0.0862554515164027,0.0391063592023,2019-03,2019-Q1,183300.0,0.0,2019-03
126,2.0,90612,1717,77586,20970,2019-03-31,92047.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Seabrook,4192.0,266400.0,0.0,0.0075642965204236,0.0517173312277931,0.0755375077396532,0.0382085177263121,2019-03,2019-Q1,266400.0,0.0,2019-03
127,3.0,44371,885,77587,16568,2019-03-31,92048.0,TX,Houston-The Woodlands-Sugar Land,Harris County,South Houston,7558.0,135400.0,0.0014792899408284,0.0149925037481259,0.104404567699837,0.115476744001604,0.0464344320463119,2019-03,2019-Q1,135400.0,0.0,2019-03
128,7.0,52167,2082,77598,23059,2019-03-31,92054.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,3163.0,180600.0,0.000554016620498615,-0.00110619469026549,0.0463499420625724,0.0826792460707091,0.0388198954384376,2018-12,2018-Q4,180800.0,-0.00110619469026549,2018-12
